:25:10:floor
{STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE}
{STONE, STONE, GLASS, GLASS, STONE, STONE, GLASS, GLASS, STONE, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{GLASS,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{GLASS,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{GLASS,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   WOOD_STAIRS, STONE}
{GLASS,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{GLASS,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{GLASS,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{GLASS,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, GLASS}
{GLASS,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, GLASS}
{GLASS,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, GLASS}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{GLASS,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, GLASS}
{GLASS,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, GLASS}
{GLASS,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, GLASS}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{GLASS,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, GLASS}
{GLASS,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, GLASS}
{GLASS,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, GLASS}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE, STONE, GLASS, GLASS, STONE, STONE, GLASS, GLASS, STONE, STONE}

:25:10:level 03
{STONE, STONE, GLASS, GLASS, STONE, STONE, GLASS, GLASS, STONE, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{GLASS,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{GLASS,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{GLASS,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   WOOD_STAIRS, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{GLASS,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{GLASS,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{GLASS,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{GLASS,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, GLASS}
{GLASS,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, GLASS}
{GLASS,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, GLASS}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{GLASS,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, GLASS}
{GLASS,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, GLASS}
{GLASS,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, GLASS}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{GLASS,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, GLASS}
{GLASS,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, GLASS}
{GLASS,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, GLASS}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE, STONE, GLASS, GLASS, STONE, STONE, GLASS, GLASS, STONE, STONE}

:25:10:level 03
{STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   WOOD_STAIRS, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE}

:25:10:level 04
{STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,  GLOWSTONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,  GLOWSTONE, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   WOOD_STAIRS, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,  GLOWSTONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,  AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,  GLOWSTONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,  GLOWSTONE, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,  GLOWSTONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,  GLOWSTONE, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,  GLOWSTONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,  GLOWSTONE, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE,  GLOWSTONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,  GLOWSTONE, STONE}
{STONE,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR, STONE}
{STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE, STONE}

:25:10:level 05
{ WOOD,  WOOD, STONE, STONE, STONE, STONE, STONE, STONE,  WOOD,  WOOD}
{ WOOD,  WOOD,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,  WOOD,  WOOD}
{ WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD_STAIRS,  WOOD}
{ WOOD,  WOOD,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,  AIR,  WOOD}
{ WOOD,  WOOD,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,  AIR,  WOOD}
{ WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  AIR,  WOOD}
{ WOOD,  WOOD,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,  WOOD,  WOOD}
{ WOOD,  WOOD,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,  WOOD,  WOOD}
{ WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD}
{ WOOD,  WOOD,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,  WOOD,  WOOD}
{ WOOD,  WOOD,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,  WOOD,  WOOD}
{ WOOD,  WOOD,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,  WOOD,  WOOD}
{ WOOD,  WOOD,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,  WOOD,  WOOD}
{ WOOD,  WOOD,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,  WOOD,  WOOD}
{ WOOD,  WOOD,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,  WOOD,  WOOD}
{ WOOD,  WOOD,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,  WOOD,  WOOD}
{ WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD}
{ WOOD,  WOOD,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,  WOOD,  WOOD}
{ WOOD,  WOOD,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,  WOOD,  WOOD}
{ WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD}
{ WOOD,  WOOD,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,  WOOD,  WOOD}
{ WOOD,  WOOD,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,  WOOD,  WOOD}
{ WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD}
{ WOOD,  WOOD,   AIR,   AIR,   AIR,   AIR,   AIR,   AIR,  WOOD,  WOOD}
{ WOOD,  WOOD, STONE, STONE, STONE, STONE, STONE, STONE,  WOOD,  WOOD}

:25:10:floor
{  AIR,   AIR,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,   AIR,   AIR}
{  AIR,   AIR,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,   AIR,   AIR}
{  AIR,   AIR,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,   AIR,   AIR}
{  AIR,   AIR,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,   AIR,   AIR}
{  AIR,   AIR,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,   AIR,   AIR}
{  AIR,   AIR,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,   AIR,   AIR}
{  AIR,   AIR,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,   AIR,   AIR}
{  AIR,   AIR,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,   AIR,   AIR}
{  AIR,   AIR,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,   AIR,   AIR}
{  AIR,   AIR,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,   AIR,   AIR}
{  AIR,   AIR,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,   AIR,   AIR}
{  AIR,   AIR,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,   AIR,   AIR}
{  AIR,   AIR,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,   AIR,   AIR}
{  AIR,   AIR,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,   AIR,   AIR}
{  AIR,   AIR,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,   AIR,   AIR}
{  AIR,   AIR,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,   AIR,   AIR}
{  AIR,   AIR,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,   AIR,   AIR}
{  AIR,   AIR,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,   AIR,   AIR}
{  AIR,   AIR,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,   AIR,   AIR}
{  AIR,   AIR,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,   AIR,   AIR}
{  AIR,   AIR,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,   AIR,   AIR}
{  AIR,   AIR,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,   AIR,   AIR}
{  AIR,   AIR,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,   AIR,   AIR}
{  AIR,   AIR,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,   AIR,   AIR}
{  AIR,   AIR,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,  WOOD,   AIR,   AIR}
